county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property
ALAMEDA,2017,7284,12156,8169
ALAMEDA,2018,7242,11225,7670
ALAMEDA,2019,7188,10867,7321
ALAMEDA,2020,6301,6507,6477
ALAMEDA,2021,105,183,278
ALAMEDA,2022,5636,5408,6147
ALPINE,2017,6,10,2
ALPINE,2018,8,10,7
ALPINE,2019,20,10,9
ALPINE,2020,16,2,3
ALPINE,2022,12,8,3
AMADOR,2017,124,296,105
AMADOR,2018,125,335,86
AMADOR,2019,139,355,96
AMADOR,2020,113,289,59
AMADOR,2022,120,182,67
BUTTE,2017,1449,3914,1668
BUTTE,2018,1684,4292,1482
BUTTE,2019,1486,4190,1369
BUTTE,2020,1426,3235,1095
BUTTE,2021,32,93,39
BUTTE,2022,1148,2305,804
CALAVERAS,2017,410,341,143
CALAVERAS,2018,306,254,137
CALAVERAS,2019,265,209,111
CALAVERAS,2020,247,214,91
CALAVERAS,2021,20,8,6
CALAVERAS,2022,232,143,117
COLUSA,2017,117,326,81
COLUSA,2018,148,337,84
COLUSA,2019,140,280,57
COLUSA,2020,111,289,89
COLUSA,2021,4,21,4
COLUSA,2022,96,241,98
CONTRA COSTA,2017,4269,7161,6019
CONTRA COSTA,2018,4397,7005,5492
CONTRA COSTA,2019,4406,6600,5466
CONTRA COSTA,2020,3370,4001,4112
CONTRA COSTA,2021,835,938,908
CONTRA COSTA,2022,2785,3188,3555
DEL NORTE,2017,335,566,212
DEL NORTE,2018,295,694,225
DEL NORTE,2019,261,548,247
DEL NORTE,2020,233,319,123
DEL NORTE,2022,246,320,282
EL DORADO,2017,1009,1826,702
EL DORADO,2018,947,1611,625
EL DORADO,2019,923,1434,573
EL DORADO,2020,964,1587,583
EL DORADO,2021,402,615,266
EL DORADO,2022,768,1047,449
FRESNO,2017,6674,8806,6120
FRESNO,2018,7181,9867,6140
FRESNO,2019,5870,7849,4761
FRESNO,2020,6279,7161,5182
FRESNO,2021,2376,1685,2321
FRESNO,2022,4863,4810,4346
GLENN,2017,164,282,119
GLENN,2018,211,435,149
GLENN,2019,211,462,118
GLENN,2020,156,304,86
GLENN,2021,26,95,29
GLENN,2022,80,169,43
HUMBOLDT,2017,1012,2710,937
HUMBOLDT,2018,970,2264,914
HUMBOLDT,2019,994,2281,935
HUMBOLDT,2020,856,2608,719
HUMBOLDT,2021,17,62,9
HUMBOLDT,2022,886,2225,822
IMPERIAL,2017,1043,1667,885
IMPERIAL,2018,924,1601,795
IMPERIAL,2019,863,1531,760
IMPERIAL,2020,714,608,486
IMPERIAL,2022,666,573,470
INYO,2017,201,242,125
INYO,2018,179,238,164
INYO,2019,153,170,100
INYO,2020,140,154,74
INYO,2022,126,133,47
KERN,2017,6137,11638,5596
KERN,2018,6181,10010,5602
KERN,2019,6101,10170,5406
KERN,2020,5558,6969,4741
KERN,2021,27,28,15
KERN,2022,5553,5412,5702
KINGS,2017,814,2162,669
KINGS,2018,906,2080,773
KINGS,2019,871,2359,751
KINGS,2020,747,2203,655
KINGS,2021,217,580,190
KINGS,2022,664,1659,611
LAKE,2017,608,1441,404
LAKE,2018,663,1553,421
LAKE,2019,553,1245,377
LAKE,2020,502,965,327
LAKE,2021,34,110,17
LAKE,2022,408,872,280
LASSEN,2017,177,167,111
LASSEN,2018,173,182,120
LASSEN,2019,179,192,109
LASSEN,2020,145,180,117
LASSEN,2021,15,10,13
LASSEN,2022,92,117,109
LOS ANGELES,2017,31989,60322,42317
LOS ANGELES,2018,33039,59599,39843
LOS ANGELES,2019,32515,59577,38676
LOS ANGELES,2020,28006,40870,32086
LOS ANGELES,2021,1525,3242,2869
LOS ANGELES,2022,27271,34528,31872
MADERA,2017,906,1512,574
MADERA,2018,1014,1822,584
MADERA,2019,931,1750,565
MADERA,2020,835,1492,480
MADERA,2021,651,1022,477
MADERA,2022,712,1076,557
MARIN,2017,943,2297,795
MARIN,2018,957,2575,698
MARIN,2019,912,2193,581
MARIN,2020,793,1732,581
MARIN,2021,32,87,38
MARIN,2022,727,1500,643
MARIPOSA,2017,90,186,50
MARIPOSA,2018,76,228,50
MARIPOSA,2019,128,311,64
MARIPOSA,2020,84,244,54
MARIPOSA,2021,44,77,29
MARIPOSA,2022,59,146,25
MENDOCINO,2017,697,1533,503
MENDOCINO,2018,705,1634,496
MENDOCINO,2019,754,1618,463
MENDOCINO,2020,610,1164,391
MENDOCINO,2021,44,109,55
MENDOCINO,2022,230,740,271
MERCED,2017,1855,2504,1558
MERCED,2018,1845,2054,1220
MERCED,2019,1698,2105,1170
MERCED,2020,1645,1763,1036
MERCED,2021,34,40,25
MERCED,2022,1330,1227,982
MODOC,2017,93,91,39
MODOC,2018,104,136,40
MODOC,2019,77,138,55
MODOC,2020,80,104,41
MODOC,2021,2,0,1
MODOC,2022,45,47,32
MONO,2017,79,72,42
MONO,2018,99,52,17
MONO,2019,103,63,31
MONO,2020,79,55,30
MONO,2022,74,42,33
MONTEREY,2017,1976,3685,1894
MONTEREY,2018,2205,4152,1699
MONTEREY,2019,2023,3960,1585
MONTEREY,2020,1845,3042,1401
MONTEREY,2021,493,1026,474
MONTEREY,2022,1533,2902,1364
NAPA,2017,551,1205,419
NAPA,2018,514,1191,360
NAPA,2019,513,989,319
NAPA,2020,445,869,321
NAPA,2022,436,930,263
NEVADA,2017,431,991,419
NEVADA,2018,426,1169,353
NEVADA,2019,543,1030,333
NEVADA,2020,384,710,254
NEVADA,2021,11,42,14
NEVADA,2022,266,435,186
ORANGE,2017,9458,32956,12770
ORANGE,2018,9472,34979,11675
ORANGE,2019,9043,34022,10938
ORANGE,2020,8375,27376,9740
ORANGE,2021,882,2321,1449
ORANGE,2022,7439,21670,9550
PLACER,2017,1156,3817,1648
PLACER,2018,1115,3489,1410
PLACER,2019,1241,3548,1415
PLACER,2020,1151,3702,1232
PLACER,2021,18,70,19
PLACER,2022,1223,2713,1263
PLUMAS,2017,146,399,78
PLUMAS,2018,130,377,78
PLUMAS,2019,129,280,72
PLUMAS,2020,112,226,51
PLUMAS,2022,123,232,64
RIVERSIDE,2017,5645,10840,5714
RIVERSIDE,2018,5487,10215,5195
RIVERSIDE,2019,5219,9665,5034
RIVERSIDE,2020,4769,8116,4472
RIVERSIDE,2021,417,958,458
RIVERSIDE,2022,4987,7562,4562
SACRAMENTO,2017,6781,12394,7458
SACRAMENTO,2018,6971,13097,6745
SACRAMENTO,2019,6988,13210,6346
SACRAMENTO,2020,6592,8848,5986
SACRAMENTO,2021,55,57,37
SACRAMENTO,2022,7714,5663,5830
SAN BENITO,2017,343,628,211
SAN BENITO,2018,339,712,170
SAN BENITO,2019,326,525,189
SAN BENITO,2020,291,418,137
SAN BENITO,2021,212,408,119
SAN BENITO,2022,227,427,153
SAN BERNARDINO,2017,8831,17143,10227
SAN BERNARDINO,2018,9287,17351,9925
SAN BERNARDINO,2019,8945,15793,9470
SAN BERNARDINO,2020,8049,12470,7864
SAN BERNARDINO,2021,1205,2547,1707
SAN BERNARDINO,2022,7761,10527,9126
SAN DIEGO,2017,12999,28017,11391
SAN DIEGO,2018,12383,28722,10722
SAN DIEGO,2019,12153,29700,10942
SAN DIEGO,2020,11240,27136,9141
SAN DIEGO,2021,6124,20020,6226
SAN DIEGO,2022,10141,18787,8648
SAN FRANCISCO,2017,2983,1890,2526
SAN FRANCISCO,2018,2854,2033,2528
SAN FRANCISCO,2019,3245,1921,2570
SAN FRANCISCO,2020,2393,1196,2151
SAN FRANCISCO,2021,5,1,7
SAN FRANCISCO,2022,3059,1842,2492
SAN JOAQUIN,2017,4721,5208,4155
SAN JOAQUIN,2018,4634,4872,3867
SAN JOAQUIN,2019,4624,4569,3677
SAN JOAQUIN,2020,4408,3753,3261
SAN JOAQUIN,2021,1379,1344,1421
SAN JOAQUIN,2022,3208,2773,3048
SAN LUIS OBISPO,2017,1184,5328,1142
SAN LUIS OBISPO,2018,1154,4616,1079
SAN LUIS OBISPO,2019,1034,4213,1053
SAN LUIS OBISPO,2020,1041,3708,860
SAN LUIS OBISPO,2021,113,583,118
SAN LUIS OBISPO,2022,1073,3183,782
SAN MATEO,2017,2208,6647,2771
SAN MATEO,2018,2209,7000,2627
SAN MATEO,2019,2363,6620,2846
SAN MATEO,2020,1963,4591,1992
SAN MATEO,2021,119,335,158
SAN MATEO,2022,1915,4080,2588
SANTA BARBARA,2017,2459,7164,1690
SANTA BARBARA,2018,2372,6453,1621
SANTA BARBARA,2019,2023,5328,1617
SANTA BARBARA,2020,1891,4260,1403
SANTA BARBARA,2021,473,696,377
SANTA BARBARA,2022,1740,3281,1536
SANTA CLARA,2017,6491,12400,6658
SANTA CLARA,2018,6522,12554,6269
SANTA CLARA,2019,6816,11910,5946
SANTA CLARA,2020,6516,10189,5507
SANTA CLARA,2021,359,664,393
SANTA CLARA,2022,6881,7648,6028
SANTA CRUZ,2017,1683,4364,1834
SANTA CRUZ,2018,1660,4330,1638
SANTA CRUZ,2019,1747,3992,1460
SANTA CRUZ,2020,1470,3325,1223
SANTA CRUZ,2021,114,209,61
SANTA CRUZ,2022,1428,2900,1065
SHASTA,2017,982,2691,1172
SHASTA,2018,930,2513,1022
SHASTA,2019,971,2929,1149
SHASTA,2020,829,3138,891
SHASTA,2022,842,3169,983
SIERRA,2017,27,35,17
SIERRA,2018,25,42,18
SIERRA,2019,20,40,12
SIERRA,2020,24,50,15
SIERRA,2022,8,24,10
SISKIYOU,2017,326,602,239
SISKIYOU,2018,331,606,235
SISKIYOU,2019,320,535,206
SISKIYOU,2020,269,491,191
SISKIYOU,2022,235,433,224
SOLANO,2017,2945,4638,2920
SOLANO,2018,2848,4761,2708
SOLANO,2019,2386,3445,2370
SOLANO,2020,2209,3260,2256
SOLANO,2021,75,156,84
SOLANO,2022,2239,2236,1857
SONOMA,2017,2602,5968,1875
SONOMA,2018,2640,5837,1923
SONOMA,2019,2621,5712,1734
SONOMA,2020,1957,2794,1245
SONOMA,2021,17,51,21
SONOMA,2022,1901,2561,1513
STANISLAUS,2017,3343,4930,3032
STANISLAUS,2018,3478,4359,2734
STANISLAUS,2019,3591,4670,2677
STANISLAUS,2020,3660,5197,2458
STANISLAUS,2022,3019,3606,2275
SUTTER,2017,756,1462,950
SUTTER,2018,694,1597,846
SUTTER,2019,688,1592,944
SUTTER,2020,549,967,746
SUTTER,2021,20,59,53
SUTTER,2022,572,1251,640
TEHAMA,2017,384,919,472
TEHAMA,2018,483,961,416
TEHAMA,2019,451,985,428
TEHAMA,2020,354,679,315
TEHAMA,2021,190,415,201
TEHAMA,2022,253,608,342
TRINITY,2017,98,250,62
TRINITY,2018,83,192,47
TRINITY,2019,51,173,33
TRINITY,2020,79,151,48
TRINITY,2022,62,65,37
TULARE,2017,3798,7997,3310
TULARE,2018,3898,7460,3439
TULARE,2019,3787,7565,3302
TULARE,2020,3747,7187,2833
TULARE,2021,952,1787,677
TULARE,2022,3675,5600,2907
TUOLUMNE,2017,357,880,270
TUOLUMNE,2018,331,784,278
TUOLUMNE,2019,398,920,291
TUOLUMNE,2020,365,710,235
TUOLUMNE,2022,293,420,180
VENTURA,2017,2886,9321,3364
VENTURA,2018,3222,10346,3267
VENTURA,2019,3376,10208,3229
VENTURA,2020,2977,8622,2961
VENTURA,2021,125,246,107
VENTURA,2022,2579,5564,2409
YOLO,2017,972,2479,912
YOLO,2018,964,2197,951
YOLO,2019,912,2268,933
YOLO,2020,900,1436,796
YOLO,2021,86,143,89
YOLO,2022,546,1024,566
YUBA,2017,618,1093,506
YUBA,2018,530,1127,412
YUBA,2019,540,1252,419
YUBA,2020,438,961,308
YUBA,2022,463,873,338
