,county_name,data_year,Crimes Against Persons,Crimes Against Society,Crimes Against Property,POVERTY_RATE,POPULATION
0,ALAMEDA,2017,7284,12156,8169,12,1487888
1,ALAMEDA,2018,7242,11225,7670,12,1487888
2,ALAMEDA,2019,7188,10867,7321,12,1487888
3,ALAMEDA,2020,6301,6507,6477,12,1487888
4,ALAMEDA,2021,105,183,278,12,1487888
5,ALAMEDA,2022,5636,5408,6147,12,1487888
6,ALPINE,2017,6,10,2,14,1160
7,ALPINE,2018,8,10,7,14,1160
8,ALPINE,2019,20,10,9,14,1160
9,ALPINE,2020,16,2,3,14,1160
10,ALPINE,2022,12,8,3,14,1160
11,AMADOR,2017,124,296,105,11,33228
12,AMADOR,2018,125,335,86,11,33228
13,AMADOR,2019,139,355,96,11,33228
14,AMADOR,2020,113,289,59,11,33228
15,AMADOR,2022,120,182,67,11,33228
16,BUTTE,2017,1449,3914,1668,21,214624
17,BUTTE,2018,1684,4292,1482,21,214624
18,BUTTE,2019,1486,4190,1369,21,214624
19,BUTTE,2020,1426,3235,1095,21,214624
20,BUTTE,2021,32,93,39,21,214624
21,BUTTE,2022,1148,2305,804,21,214624
22,CALAVERAS,2017,410,341,143,10,44740
23,CALAVERAS,2018,306,254,137,10,44740
24,CALAVERAS,2019,265,209,111,10,44740
25,CALAVERAS,2020,247,214,91,10,44740
26,CALAVERAS,2021,20,8,6,10,44740
27,CALAVERAS,2022,232,143,117,10,44740
28,COLUSA,2017,117,326,81,15,21041
29,COLUSA,2018,148,337,84,15,21041
30,COLUSA,2019,140,280,57,15,21041
31,COLUSA,2020,111,289,89,15,21041
32,COLUSA,2021,4,21,4,15,21041
33,COLUSA,2022,96,241,98,15,21041
34,CONTRA COSTA,2017,4269,7161,6019,10,1042528
35,CONTRA COSTA,2018,4397,7005,5492,10,1042528
36,CONTRA COSTA,2019,4406,6600,5466,10,1042528
37,CONTRA COSTA,2020,3370,4001,4112,10,1042528
38,CONTRA COSTA,2021,835,938,908,10,1042528
39,CONTRA COSTA,2022,2785,3188,3555,10,1042528
40,DEL NORTE,2017,335,566,212,22,24974
41,DEL NORTE,2018,295,694,225,22,24974
42,DEL NORTE,2019,261,548,247,22,24974
43,DEL NORTE,2020,233,319,123,22,24974
44,DEL NORTE,2022,246,320,282,22,24974
45,EL DORADO,2017,1009,1826,702,8,179280
46,EL DORADO,2018,947,1611,625,8,179280
47,EL DORADO,2019,923,1434,573,8,179280
48,EL DORADO,2020,964,1587,583,8,179280
49,EL DORADO,2021,402,615,266,8,179280
50,EL DORADO,2022,768,1047,449,8,179280
51,FRESNO,2017,6674,8806,6120,25,913669
52,FRESNO,2018,7181,9867,6140,25,913669
53,FRESNO,2019,5870,7849,4761,25,913669
54,FRESNO,2020,6279,7161,5182,25,913669
55,FRESNO,2021,2376,1685,2321,25,913669
56,FRESNO,2022,4863,4810,4346,25,913669
57,GLENN,2017,164,282,119,20,27581
58,GLENN,2018,211,435,149,20,27581
59,GLENN,2019,211,462,118,20,27581
60,GLENN,2020,156,304,86,20,27581
61,GLENN,2021,26,95,29,20,27581
62,GLENN,2022,80,169,43,20,27581
63,HUMBOLDT,2017,1012,2710,937,20,130315
64,HUMBOLDT,2018,970,2264,914,20,130315
65,HUMBOLDT,2019,994,2281,935,20,130315
66,HUMBOLDT,2020,856,2608,719,20,130315
67,HUMBOLDT,2021,17,62,9,20,130315
68,HUMBOLDT,2022,886,2225,822,20,130315
69,IMPERIAL,2017,1043,1667,885,23,163074
70,IMPERIAL,2018,924,1601,795,23,163074
71,IMPERIAL,2019,863,1531,760,23,163074
72,IMPERIAL,2020,714,608,486,23,163074
73,IMPERIAL,2022,666,573,470,23,163074
74,INYO,2017,201,242,125,11,17938
75,INYO,2018,179,238,164,11,17938
76,INYO,2019,153,170,100,11,17938
77,INYO,2020,140,154,74,11,17938
78,INYO,2022,126,133,47,11,17938
79,KERN,2017,6137,11638,5596,23,804199
80,KERN,2018,6181,10010,5602,23,804199
81,KERN,2019,6101,10170,5406,23,804199
82,KERN,2020,5558,6969,4741,23,804199
83,KERN,2021,27,28,15,23,804199
84,KERN,2022,5553,5412,5702,23,804199
85,KINGS,2017,814,2162,669,21,134003
86,KINGS,2018,906,2080,773,21,134003
87,KINGS,2019,871,2359,751,21,134003
88,KINGS,2020,747,2203,655,21,134003
89,KINGS,2021,217,580,190,21,134003
90,KINGS,2022,664,1659,611,21,134003
91,LAKE,2017,608,1441,404,24,63365
92,LAKE,2018,663,1553,421,24,63365
93,LAKE,2019,553,1245,377,24,63365
94,LAKE,2020,502,965,327,24,63365
95,LAKE,2021,34,110,17,24,63365
96,LAKE,2022,408,872,280,24,63365
97,LASSEN,2017,177,167,111,15,24197
98,LASSEN,2018,173,182,120,15,24197
99,LASSEN,2019,179,192,109,15,24197
100,LASSEN,2020,145,180,117,15,24197
101,LASSEN,2021,15,10,13,15,24197
102,LASSEN,2022,92,117,109,15,24197
103,LOS ANGELES,2017,31989,60322,42317,17,9684503
104,LOS ANGELES,2018,33039,59599,39843,17,9684503
105,LOS ANGELES,2019,32515,59577,38676,17,9684503
106,LOS ANGELES,2020,28006,40870,32086,17,9684503
107,LOS ANGELES,2021,1525,3242,2869,17,9684503
108,LOS ANGELES,2022,27271,34528,31872,17,9684503
109,MADERA,2017,906,1512,574,21,141598
110,MADERA,2018,1014,1822,584,21,141598
111,MADERA,2019,931,1750,565,21,141598
112,MADERA,2020,835,1492,480,21,141598
113,MADERA,2021,651,1022,477,21,141598
114,MADERA,2022,712,1076,557,21,141598
115,MARIN,2017,943,2297,795,8,244670
116,MARIN,2018,957,2575,698,8,244670
117,MARIN,2019,912,2193,581,8,244670
118,MARIN,2020,793,1732,581,8,244670
119,MARIN,2021,32,87,38,8,244670
120,MARIN,2022,727,1500,643,8,244670
121,MARIPOSA,2017,90,186,50,15,18047
122,MARIPOSA,2018,76,228,50,15,18047
123,MARIPOSA,2019,128,311,64,15,18047
124,MARIPOSA,2020,84,244,54,15,18047
125,MARIPOSA,2021,44,77,29,15,18047
126,MARIPOSA,2022,59,146,25,15,18047
127,MENDOCINO,2017,697,1533,503,19,86212
128,MENDOCINO,2018,705,1634,496,19,86212
129,MENDOCINO,2019,754,1618,463,19,86212
130,MENDOCINO,2020,610,1164,391,19,86212
131,MENDOCINO,2021,44,109,55,19,86212
132,MENDOCINO,2022,230,740,271,19,86212
133,MERCED,2017,1855,2504,1558,25,252170
134,MERCED,2018,1845,2054,1220,25,252170
135,MERCED,2019,1698,2105,1170,25,252170
136,MERCED,2020,1645,1763,1036,25,252170
137,MERCED,2021,34,40,25,25,252170
138,MERCED,2022,1330,1227,982,25,252170
139,MODOC,2017,93,91,39,20,9171
140,MODOC,2018,104,136,40,20,9171
141,MODOC,2019,77,138,55,20,9171
142,MODOC,2020,80,104,41,20,9171
143,MODOC,2021,2,0,1,20,9171
144,MODOC,2022,45,47,32,20,9171
145,MONO,2017,79,72,42,10,14058
146,MONO,2018,99,52,17,10,14058
147,MONO,2019,103,63,31,10,14058
148,MONO,2020,79,55,30,10,14058
149,MONO,2022,74,42,33,10,14058
150,MONTEREY,2017,1976,3685,1894,16,397891
151,MONTEREY,2018,2205,4152,1699,16,397891
152,MONTEREY,2019,2023,3960,1585,16,397891
153,MONTEREY,2020,1845,3042,1401,16,397891
154,MONTEREY,2021,493,1026,474,16,397891
155,MONTEREY,2022,1533,2902,1364,16,397891
156,NAPA,2017,551,1205,419,10,133196
157,NAPA,2018,514,1191,360,10,133196
158,NAPA,2019,513,989,319,10,133196
159,NAPA,2020,445,869,321,10,133196
160,NAPA,2022,436,930,263,10,133196
161,NEVADA,2017,431,991,419,12,97719
162,NEVADA,2018,426,1169,353,12,97719
163,NEVADA,2019,543,1030,333,12,97719
164,NEVADA,2020,384,710,254,12,97719
165,NEVADA,2021,11,42,14,12,97719
166,NEVADA,2022,266,435,186,12,97719
167,ORANGE,2017,9458,32956,12770,12,2985156
168,ORANGE,2018,9472,34979,11675,12,2985156
169,ORANGE,2019,9043,34022,10938,12,2985156
170,ORANGE,2020,8375,27376,9740,12,2985156
171,ORANGE,2021,882,2321,1449,12,2985156
172,ORANGE,2022,7439,21670,9550,12,2985156
173,PLACER,2017,1156,3817,1648,8,347344
174,PLACER,2018,1115,3489,1410,8,347344
175,PLACER,2019,1241,3548,1415,8,347344
176,PLACER,2020,1151,3702,1232,8,347344
177,PLACER,2021,18,70,19,8,347344
178,PLACER,2022,1223,2713,1263,8,347344
179,PLUMAS,2017,146,399,78,14,19627
180,PLUMAS,2018,130,377,78,14,19627
181,PLUMAS,2019,129,280,72,14,19627
182,PLUMAS,2020,112,226,51,14,19627
183,PLUMAS,2022,123,232,64,14,19627
184,RIVERSIDE,2017,5645,10840,5714,16,2157713
185,RIVERSIDE,2018,5487,10215,5195,16,2157713
186,RIVERSIDE,2019,5219,9665,5034,16,2157713
187,RIVERSIDE,2020,4769,8116,4472,16,2157713
188,RIVERSIDE,2021,417,958,458,16,2157713
189,RIVERSIDE,2022,4987,7562,4562,16,2157713
190,SACRAMENTO,2017,6781,12394,7458,17,1396487
191,SACRAMENTO,2018,6971,13097,6745,17,1396487
192,SACRAMENTO,2019,6988,13210,6346,17,1396487
193,SACRAMENTO,2020,6592,8848,5986,17,1396487
194,SACRAMENTO,2021,55,57,37,17,1396487
195,SACRAMENTO,2022,7714,5663,5830,17,1396487
196,SAN BENITO,2017,343,628,211,13,55176
197,SAN BENITO,2018,339,712,170,13,55176
198,SAN BENITO,2019,326,525,189,13,55176
199,SAN BENITO,2020,291,418,137,13,55176
200,SAN BENITO,2021,212,408,119,13,55176
201,SAN BENITO,2022,227,427,153,13,55176
202,SAN BERNARDINO,2017,8831,17143,10227,18,1995666
203,SAN BERNARDINO,2018,9287,17351,9925,18,1995666
204,SAN BERNARDINO,2019,8945,15793,9470,18,1995666
205,SAN BERNARDINO,2020,8049,12470,7864,18,1995666
206,SAN BERNARDINO,2021,1205,2547,1707,18,1995666
207,SAN BERNARDINO,2022,7761,10527,9126,18,1995666
208,SAN DIEGO,2017,12999,28017,11391,14,3019666
209,SAN DIEGO,2018,12383,28722,10722,14,3019666
210,SAN DIEGO,2019,12153,29700,10942,14,3019666
211,SAN DIEGO,2020,11240,27136,9141,14,3019666
212,SAN DIEGO,2021,6124,20020,6226,14,3019666
213,SAN DIEGO,2022,10141,18787,8648,14,3019666
214,SAN FRANCISCO,2017,2983,1890,2526,13,795816
215,SAN FRANCISCO,2018,2854,2033,2528,13,795816
216,SAN FRANCISCO,2019,3245,1921,2570,13,795816
217,SAN FRANCISCO,2020,2393,1196,2151,13,795816
218,SAN FRANCISCO,2021,5,1,7,13,795816
219,SAN FRANCISCO,2022,3059,1842,2492,13,795816
220,SAN JOAQUIN,2017,4721,5208,4155,18,672265
221,SAN JOAQUIN,2018,4634,4872,3867,18,672265
222,SAN JOAQUIN,2019,4624,4569,3677,18,672265
223,SAN JOAQUIN,2020,4408,3753,3261,18,672265
224,SAN JOAQUIN,2021,1379,1344,1421,18,672265
225,SAN JOAQUIN,2022,3208,2773,3048,18,672265
226,SAN LUIS OBISPO,2017,1184,5328,1142,14,254132
227,SAN LUIS OBISPO,2018,1154,4616,1079,14,254132
228,SAN LUIS OBISPO,2019,1034,4213,1053,14,254132
229,SAN LUIS OBISPO,2020,1041,3708,860,14,254132
230,SAN LUIS OBISPO,2021,113,583,118,14,254132
231,SAN LUIS OBISPO,2022,1073,3183,782,14,254132
232,SAN MATEO,2017,2208,6647,2771,7,713363
233,SAN MATEO,2018,2209,7000,2627,7,713363
234,SAN MATEO,2019,2363,6620,2846,7,713363
235,SAN MATEO,2020,1963,4591,1992,7,713363
236,SAN MATEO,2021,119,335,158,7,713363
237,SAN MATEO,2022,1915,4080,2588,7,713363
238,SANTA BARBARA,2017,2459,7164,1690,15,406340
239,SANTA BARBARA,2018,2372,6453,1621,15,406340
240,SANTA BARBARA,2019,2023,5328,1617,15,406340
241,SANTA BARBARA,2020,1891,4260,1403,15,406340
242,SANTA BARBARA,2021,473,696,377,15,406340
243,SANTA BARBARA,2022,1740,3281,1536,15,406340
244,SANTA CLARA,2017,6491,12400,6658,10,1761326
245,SANTA CLARA,2018,6522,12554,6269,10,1761326
246,SANTA CLARA,2019,6816,11910,5946,10,1761326
247,SANTA CLARA,2020,6516,10189,5507,10,1761326
248,SANTA CLARA,2021,359,664,393,10,1761326
249,SANTA CLARA,2022,6881,7648,6028,10,1761326
250,SANTA CRUZ,2017,1683,4364,1834,14,253753
251,SANTA CRUZ,2018,1660,4330,1638,14,253753
252,SANTA CRUZ,2019,1747,3992,1460,14,253753
253,SANTA CRUZ,2020,1470,3325,1223,14,253753
254,SANTA CRUZ,2021,114,209,61,14,253753
255,SANTA CRUZ,2022,1428,2900,1065,14,253753
256,SHASTA,2017,982,2691,1172,18,174707
257,SHASTA,2018,930,2513,1022,18,174707
258,SHASTA,2019,971,2929,1149,18,174707
259,SHASTA,2020,829,3138,891,18,174707
260,SHASTA,2022,842,3169,983,18,174707
261,SIERRA,2017,27,35,17,17,3132
262,SIERRA,2018,25,42,18,17,3132
263,SIERRA,2019,20,40,12,17,3132
264,SIERRA,2020,24,50,15,17,3132
265,SIERRA,2022,8,24,10,17,3132
266,SISKIYOU,2017,326,602,239,20,44039
267,SISKIYOU,2018,331,606,235,20,44039
268,SISKIYOU,2019,320,535,206,20,44039
269,SISKIYOU,2020,269,491,191,20,44039
270,SISKIYOU,2022,235,433,224,20,44039
271,SOLANO,2017,2945,4638,2920,12,397076
272,SOLANO,2018,2848,4761,2708,12,397076
273,SOLANO,2019,2386,3445,2370,12,397076
274,SOLANO,2020,2209,3260,2256,12,397076
275,SOLANO,2021,75,156,84,12,397076
276,SOLANO,2022,2239,2236,1857,12,397076
277,SONOMA,2017,2602,5968,1875,12,476043
278,SONOMA,2018,2640,5837,1923,12,476043
279,SONOMA,2019,2621,5712,1734,12,476043
280,SONOMA,2020,1957,2794,1245,12,476043
281,SONOMA,2021,17,51,21,12,476043
282,SONOMA,2022,1901,2561,1513,12,476043
283,STANISLAUS,2017,3343,4930,3032,19,508890
284,STANISLAUS,2018,3478,4359,2734,19,508890
285,STANISLAUS,2019,3591,4670,2677,19,508890
286,STANISLAUS,2020,3660,5197,2458,19,508890
287,STANISLAUS,2022,3019,3606,2275,19,508890
288,SUTTER,2017,756,1462,950,17,93434
289,SUTTER,2018,694,1597,846,17,93434
290,SUTTER,2019,688,1592,944,17,93434
291,SUTTER,2020,549,967,746,17,93434
292,SUTTER,2021,20,59,53,17,93434
293,SUTTER,2022,572,1251,640,17,93434
294,TEHAMA,2017,384,919,472,20,62314
295,TEHAMA,2018,483,961,416,20,62314
296,TEHAMA,2019,451,985,428,20,62314
297,TEHAMA,2020,354,679,315,20,62314
298,TEHAMA,2021,190,415,201,20,62314
299,TEHAMA,2022,253,608,342,20,62314
300,TRINITY,2017,98,250,62,18,13409
301,TRINITY,2018,83,192,47,18,13409
302,TRINITY,2019,51,173,33,18,13409
303,TRINITY,2020,79,151,48,18,13409
304,TRINITY,2022,62,65,37,18,13409
305,TULARE,2017,3798,7997,3310,25,435395
306,TULARE,2018,3898,7460,3439,25,435395
307,TULARE,2019,3787,7565,3302,25,435395
308,TULARE,2020,3747,7187,2833,25,435395
309,TULARE,2021,952,1787,677,25,435395
310,TULARE,2022,3675,5600,2907,25,435395
311,TUOLUMNE,2017,357,880,270,13,51217
312,TUOLUMNE,2018,331,784,278,13,51217
313,TUOLUMNE,2019,398,920,291,13,51217
314,TUOLUMNE,2020,365,710,235,13,51217
315,TUOLUMNE,2022,293,420,180,13,51217
316,VENTURA,2017,2886,9321,3364,10,811132
317,VENTURA,2018,3222,10346,3267,10,811132
318,VENTURA,2019,3376,10208,3229,10,811132
319,VENTURA,2020,2977,8622,2961,10,811132
320,VENTURA,2021,125,246,107,10,811132
321,VENTURA,2022,2579,5564,2409,10,811132
322,YOLO,2017,972,2479,912,19,193063
323,YOLO,2018,964,2197,951,19,193063
324,YOLO,2019,912,2268,933,19,193063
325,YOLO,2020,900,1436,796,19,193063
326,YOLO,2021,86,143,89,19,193063
327,YOLO,2022,546,1024,566,19,193063
328,YUBA,2017,618,1093,506,21,70740
329,YUBA,2018,530,1127,412,21,70740
330,YUBA,2019,540,1252,419,21,70740
331,YUBA,2020,438,961,308,21,70740
332,YUBA,2022,463,873,338,21,70740
