,county_name,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",agency_count,agency_count
130,NEVADA,2021,7,14,0,2,0,12,8,22,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,4,1,0,0,4,1,0,1,1
131,NEVADA,2022,86,143,3,4,0,84,49,127,0,2,2,9,0,1,0,27,1,0,11,0,1,0,1,6,29,18,0,9,9,14,0,1,1
132,ORANGE,2017,1579,5846,27,1004,10,73,1591,6921,1171,16,153,195,1,0,0,1022,123,7,357,31,2,79,74,327,1792,570,0,161,472,668,238,8,8
133,ORANGE,2018,1594,6707,23,873,1,58,1676,8459,1167,10,158,208,21,0,0,967,107,1,278,14,2,80,73,298,1710,486,0,119,437,667,224,8,8
134,ORANGE,2019,1600,6102,33,920,12,45,1768,9015,1045,15,131,203,59,0,0,907,84,2,237,33,1,80,70,314,1672,401,0,77,439,587,232,8,8
135,ORANGE,2020,1445,4424,43,726,7,25,1265,7082,661,6,56,133,155,0,0,789,32,0,311,26,0,72,56,294,1442,399,0,78,472,627,179,8,8
136,ORANGE,2021,478,2504,12,87,0,223,662,1359,0,5,46,173,7,6,0,351,12,0,94,2,0,24,10,81,376,220,0,34,139,241,10,8,8
137,ORANGE,2022,1207,7555,38,307,18,880,1489,3513,0,16,93,396,6,6,2,830,43,0,245,13,2,109,31,242,1278,515,0,96,432,642,32,8,8
138,PLACER,2017,113,306,2,102,0,1,238,375,220,2,4,10,0,0,0,54,2,0,35,3,0,12,1,17,107,20,0,4,12,29,11,3,3
139,PLACER,2018,123,210,5,85,0,4,262,494,160,3,11,13,0,0,0,60,10,0,20,1,0,43,3,16,104,13,0,10,13,26,11,3,3
140,PLACER,2019,113,182,1,73,0,1,212,466,162,6,4,15,0,0,0,66,4,0,29,0,1,27,3,9,100,24,0,3,18,46,19,3,3
141,PLACER,2020,89,183,3,66,0,3,175,633,113,3,8,3,0,0,0,57,2,0,21,1,4,5,5,16,102,26,0,3,18,45,15,3,3
142,PLACER,2021,6,31,0,1,0,11,41,18,0,0,2,5,0,0,0,3,0,0,1,0,0,0,0,0,12,4,0,0,1,2,0,3,3
143,PLACER,2022,67,451,5,23,1,120,266,307,0,3,10,41,0,0,0,88,7,0,5,0,2,0,7,16,192,39,0,1,32,53,2,3,3
144,RIVERSIDE,2017,521,1987,3,189,0,8,495,1506,715,8,34,31,0,0,0,125,2,0,16,5,1,8,16,64,413,242,0,17,87,208,33,3,3
145,RIVERSIDE,2018,488,1924,3,170,0,3,331,1551,739,6,27,22,1,0,0,151,2,1,27,11,0,49,9,76,374,178,0,24,54,126,21,3,3
146,RIVERSIDE,2019,476,1439,4,214,0,50,335,1335,624,3,26,21,0,0,0,152,15,3,29,9,6,6,7,48,308,163,0,35,52,109,20,3,3
147,RIVERSIDE,2020,372,972,1,113,0,22,223,1142,566,4,11,12,0,0,0,99,5,0,23,8,1,0,7,40,226,253,0,14,46,124,19,3,3
148,RIVERSIDE,2021,231,1131,5,39,0,399,185,358,0,0,13,19,0,0,0,90,0,0,16,1,0,14,3,21,177,103,0,2,34,118,5,3,3
149,RIVERSIDE,2022,287,1594,1,58,0,794,265,329,0,0,12,23,0,0,0,132,4,0,22,2,2,14,5,44,266,159,0,2,61,146,9,3,3
150,SACRAMENTO,2017,221,665,0,41,0,2,1810,810,32,1,8,27,0,0,0,168,0,0,74,1,0,2,3,34,164,37,0,0,26,53,11,2,2
151,SACRAMENTO,2018,235,617,4,36,0,1,2393,854,30,5,11,24,0,0,0,153,12,1,64,1,0,3,9,41,178,36,0,1,26,47,27,2,2
152,SACRAMENTO,2019,256,720,7,62,3,2,2998,1069,54,5,18,125,0,0,0,158,13,6,49,2,1,5,5,44,261,50,0,3,55,73,22,2,2
153,SACRAMENTO,2020,242,671,12,45,0,24,2149,401,20,3,15,65,0,0,0,50,2,4,26,3,1,0,3,39,179,31,0,1,53,89,17,2,2
154,SACRAMENTO,2021,23,29,1,8,0,2,47,5,0,0,1,1,0,0,0,13,1,0,0,0,0,2,0,3,31,2,0,0,3,5,1,2,2
155,SACRAMENTO,2022,142,456,3,15,1,33,1014,138,0,4,9,11,0,0,0,114,2,2,22,1,0,0,1,26,202,70,0,1,39,44,4,2,2
156,SAN BENITO,2017,179,461,4,68,1,12,191,318,82,3,2,5,0,0,0,6,20,0,5,9,1,0,4,19,138,16,0,3,23,60,13,2,2
157,SAN BENITO,2018,161,329,1,36,0,7,314,311,69,0,6,5,0,0,0,13,6,0,6,1,0,0,3,9,154,16,0,5,19,59,20,2,2
158,SAN BENITO,2019,152,439,1,42,0,9,177,281,42,1,12,4,1,0,0,18,9,1,8,1,1,0,6,17,150,9,0,5,19,58,16,2,2
159,SAN BENITO,2020,120,281,5,33,0,9,114,224,65,2,4,6,0,0,0,10,4,1,2,1,1,0,4,10,151,14,0,1,25,26,14,2,2
160,SAN BENITO,2021,62,433,5,8,0,80,168,154,0,1,3,10,0,0,0,15,3,0,3,0,1,0,3,6,146,11,0,2,16,41,1,2,2
161,SAN BENITO,2022,48,368,3,13,0,74,191,151,0,0,4,4,0,0,0,27,6,0,2,1,1,0,3,3,172,8,0,4,31,58,3,2,2
162,SAN BERNARDINO,2017,1248,3089,12,641,0,44,1283,4998,978,20,64,241,0,0,0,916,48,3,305,28,10,21,46,285,1098,286,0,89,200,419,193,6,6
163,SAN BERNARDINO,2018,1299,3019,24,621,0,28,1281,5514,695,28,78,116,2,0,0,909,48,1,360,24,12,11,55,276,1206,341,0,109,234,374,159,6,6
164,SAN BERNARDINO,2019,1269,2462,18,622,5,30,1269,5426,770,28,84,120,10,0,0,973,57,1,334,16,8,10,54,303,1196,379,0,40,188,413,160,6,6
165,SAN BERNARDINO,2020,1202,1862,27,443,0,15,844,3798,479,17,35,90,3,0,0,675,27,4,294,26,6,5,58,260,1099,382,0,49,229,431,138,6,6
166,SAN BERNARDINO,2021,467,3118,9,130,0,336,628,1511,0,8,41,116,5,0,0,374,31,1,57,9,1,1,27,139,677,390,0,34,167,276,24,6,6
167,SAN BERNARDINO,2022,615,5284,29,280,0,874,964,2499,0,23,77,188,3,0,0,818,37,4,126,15,2,3,53,247,1456,744,0,44,299,620,39,6,6
168,SAN DIEGO,2017,6309,20829,87,1267,332,102,4360,14741,5523,37,185,297,9,0,0,4071,437,6,1076,61,1,231,105,963,5965,571,0,2050,971,1644,502,12,12
169,SAN DIEGO,2018,6162,18533,103,1110,191,137,3835,15479,5888,41,132,256,9,0,0,3777,258,4,963,61,3,228,117,991,5525,622,0,2408,954,1592,456,12,12
170,SAN DIEGO,2019,6101,18127,88,1063,164,148,3694,15751,7166,45,171,316,10,0,0,3914,381,5,962,57,3,218,110,1012,5330,568,0,1933,1066,1581,497,12,12
171,SAN DIEGO,2020,6299,10503,130,1004,165,216,3204,16561,5374,43,110,203,2,0,0,2501,236,4,1022,92,3,153,76,802,4376,601,0,1041,1112,1540,359,12,12
172,SAN DIEGO,2021,1694,34932,72,563,53,5691,5175,8417,0,11,117,342,9,0,0,1365,175,0,493,51,3,186,42,506,4275,629,0,311,689,1439,62,12,12
173,SAN DIEGO,2022,2998,18294,119,789,13,5453,4353,8105,0,21,120,310,6,0,1,1857,185,1,604,66,2,102,43,892,6873,1005,0,426,1208,1598,112,12,12
174,SAN FRANCISCO,2017,8,85,0,18,0,3,3,66,6,0,1,1,0,0,0,18,0,0,3,0,0,0,0,0,36,4,0,3,6,7,0,1,1
175,SAN FRANCISCO,2018,14,61,0,20,0,1,3,27,2,0,0,2,0,0,0,13,0,0,5,0,0,0,0,0,33,2,0,0,3,9,2,1,1
176,SAN FRANCISCO,2019,12,40,1,20,0,19,2,15,3,0,0,2,0,0,0,5,0,0,10,0,0,0,0,1,40,1,0,5,6,6,1,1,1
177,SAN FRANCISCO,2020,7,37,1,13,0,3,3,5,1,0,0,1,0,0,0,7,0,0,6,1,0,0,0,1,21,4,0,0,7,3,3,1,1
178,SAN FRANCISCO,2021,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,2,1,0,1,1
179,SAN FRANCISCO,2022,4,21,0,6,0,2,2,3,0,0,0,6,0,0,0,7,0,0,1,0,0,0,1,1,37,7,0,1,8,2,0,1,1
180,SAN JOAQUIN,2017,1211,2282,34,339,0,29,509,931,1013,11,25,74,4,0,0,316,12,3,83,30,2,29,32,299,1082,361,0,14,191,577,107,2,2
181,SAN JOAQUIN,2018,1324,2460,19,351,0,15,573,898,772,8,16,53,0,0,0,324,14,4,70,29,22,47,37,349,1004,272,0,8,198,531,95,2,2
182,SAN JOAQUIN,2019,1389,2289,30,299,0,15,605,707,470,11,16,43,0,0,0,258,7,1,64,16,1,52,30,296,1038,248,0,12,204,555,112,2,2
183,SAN JOAQUIN,2020,1352,1545,28,164,0,14,524,330,392,5,17,20,1,0,0,161,8,0,40,30,1,24,31,277,873,216,0,4,232,575,118,2,2
184,SAN JOAQUIN,2021,596,1071,15,119,0,546,486,268,0,8,10,35,0,3,1,182,6,0,126,13,1,30,27,136,706,123,0,7,228,439,33,2,2
185,SAN JOAQUIN,2022,696,1187,21,157,1,670,406,309,0,20,12,52,4,0,0,239,1,0,246,35,0,9,28,230,714,160,0,4,247,407,31,2,2
186,SAN LUIS OBISPO,2017,131,698,0,31,0,11,276,511,337,0,18,9,0,0,0,80,59,0,12,0,0,0,3,19,116,25,0,38,27,29,19,4,4
187,SAN LUIS OBISPO,2018,113,724,4,22,0,5,269,489,208,0,18,16,0,0,0,80,59,0,21,0,0,0,5,9,114,37,0,35,19,26,15,4,4
188,SAN LUIS OBISPO,2019,97,523,1,24,0,5,293,461,188,1,10,16,0,0,0,54,38,0,28,0,0,0,1,17,89,20,0,27,21,26,11,4,4
189,SAN LUIS OBISPO,2020,90,377,3,15,0,6,228,525,126,0,14,8,1,0,0,37,7,0,11,2,0,1,1,11,84,16,0,22,25,31,12,4,4
190,SAN LUIS OBISPO,2021,55,165,2,6,0,120,198,257,0,0,7,4,0,0,0,28,2,0,7,0,0,0,1,5,55,19,0,6,4,36,2,4,4
191,SAN LUIS OBISPO,2022,83,152,2,17,0,143,116,231,0,1,1,7,0,0,0,41,4,0,5,0,0,0,2,6,57,9,0,5,16,27,0,4,4
192,SAN MATEO,2017,175,915,2,172,0,2,368,1011,344,8,13,21,1,0,0,64,39,0,92,2,0,7,6,29,181,43,0,12,31,74,32,4,4
193,SAN MATEO,2018,222,1232,6,201,0,2,368,1117,319,4,19,24,0,0,0,62,29,0,28,1,0,7,5,27,200,17,0,17,28,69,26,4,4
194,SAN MATEO,2019,199,1216,2,157,0,2,357,969,303,2,7,21,0,0,0,67,43,0,28,3,0,9,11,21,235,29,0,13,30,83,26,4,4
195,SAN MATEO,2020,212,628,4,192,0,1,160,605,183,1,7,11,0,0,0,52,7,0,26,1,0,13,10,30,170,30,0,5,25,43,31,4,4
196,SAN MATEO,2021,31,334,0,16,0,88,135,105,0,0,4,28,0,0,0,43,0,0,6,1,0,6,0,3,86,16,0,1,18,24,1,4,4
197,SAN MATEO,2022,118,1123,7,29,0,234,225,278,0,1,17,79,0,0,0,116,1,0,13,1,1,6,9,26,225,63,0,3,34,71,7,4,4
198,SANTA BARBARA,2017,281,1940,2,93,15,15,470,573,354,3,10,18,1,0,0,133,179,1,41,0,0,0,11,49,483,24,0,8,44,45,28,2,2
199,SANTA BARBARA,2018,259,1594,1,62,1,24,530,442,262,3,6,14,0,0,0,139,140,0,44,2,1,3,10,35,401,29,0,6,57,32,27,2,2
200,SANTA BARBARA,2019,164,1080,2,72,0,8,445,303,140,2,7,16,0,0,0,116,137,0,18,0,0,0,3,51,279,11,0,7,34,37,14,2,2
201,SANTA BARBARA,2020,285,553,1,70,0,7,513,384,111,3,3,16,0,0,0,91,30,1,58,4,1,3,1,22,257,10,0,13,38,43,18,2,2
202,SANTA BARBARA,2021,121,465,0,50,0,55,486,130,0,3,3,25,0,0,0,68,6,0,59,2,7,6,8,28,337,21,0,6,65,55,5,2,2
203,SANTA BARBARA,2022,152,484,8,53,0,156,489,155,0,5,7,16,0,0,0,95,10,0,107,3,2,0,11,56,409,20,0,4,54,87,4,2,2
204,SANTA CLARA,2017,740,2374,18,317,0,58,949,2856,1210,11,53,57,0,0,0,786,80,4,123,3,1,17,46,130,793,128,0,99,146,241,153,9,9
205,SANTA CLARA,2018,674,2243,21,293,1,55,852,2646,1043,6,53,56,0,0,0,602,44,2,148,4,2,18,45,129,848,192,0,85,118,205,139,9,9
206,SANTA CLARA,2019,661,2127,20,247,0,54,901,2626,1067,12,36,75,0,0,0,524,38,3,112,2,0,15,41,119,867,152,0,20,178,225,146,9,9
207,SANTA CLARA,2020,630,1140,21,251,0,43,524,2051,497,5,43,45,0,0,0,433,17,6,149,8,1,9,38,128,681,102,0,22,139,181,123,9,9
208,SANTA CLARA,2021,153,534,7,48,0,164,291,196,0,5,8,33,0,0,0,94,1,0,32,2,1,0,7,19,189,44,0,11,45,58,8,9,9
209,SANTA CLARA,2022,466,2377,18,144,2,610,900,610,0,15,32,142,0,0,0,721,11,1,120,1,0,8,24,111,772,208,0,22,152,199,28,9,9
210,SANTA CRUZ,2017,274,400,4,101,0,12,81,1118,74,8,14,35,0,0,0,123,17,0,13,7,0,0,12,19,358,94,0,62,71,130,28,3,3
211,SANTA CRUZ,2018,315,436,9,126,0,30,115,1053,100,2,8,37,0,0,0,107,15,0,14,11,0,0,9,23,368,97,0,39,74,126,40,3,3
212,SANTA CRUZ,2019,319,484,5,135,0,10,87,923,61,3,9,39,0,0,0,71,31,0,10,6,0,0,13,18,412,59,0,46,65,106,36,3,3
213,SANTA CRUZ,2020,279,888,3,102,0,26,37,879,24,2,7,19,0,0,0,71,22,0,8,12,0,0,4,21,333,54,0,31,56,107,25,3,3
214,SANTA CRUZ,2021,40,103,1,2,0,87,5,113,0,0,1,9,0,0,0,16,3,0,1,2,0,0,2,2,70,2,0,1,11,16,0,3,3
215,SANTA CRUZ,2022,161,688,13,33,0,371,65,635,0,1,3,44,0,0,0,61,21,0,6,3,2,0,6,14,357,29,0,14,62,111,5,3,3
216,SOLANO,2017,36,81,1,27,0,1,35,73,23,0,0,3,0,0,0,4,2,0,1,0,0,0,1,0,60,10,0,0,5,11,4,1,1
217,SOLANO,2018,33,193,0,46,0,0,68,89,21,1,1,2,0,0,0,11,0,0,1,0,0,0,2,2,58,9,0,2,2,7,8,1,1
218,SOLANO,2019,36,140,1,18,0,2,54,68,23,1,2,3,0,0,0,6,0,0,4,0,0,0,2,4,29,9,0,6,6,5,4,1,1
219,SOLANO,2020,45,111,0,20,0,0,48,131,15,0,5,10,0,0,0,13,1,0,4,0,0,0,0,5,49,17,0,1,11,22,2,1,1
220,SOLANO,2021,27,111,0,7,0,18,45,91,0,2,0,2,0,0,0,26,0,0,1,0,0,0,3,2,44,13,0,2,12,19,1,1,1
221,SOLANO,2022,36,34,2,5,0,16,42,57,0,0,5,4,0,0,0,21,0,0,1,0,0,0,3,3,62,12,0,0,14,15,2,1,1
222,SONOMA,2017,22,104,1,15,0,0,75,154,19,0,2,3,0,0,0,13,6,0,4,0,0,0,2,2,31,4,0,0,1,17,1,1,1
223,SONOMA,2018,12,72,0,11,0,2,82,144,25,0,0,3,0,0,0,16,1,0,4,0,0,0,1,3,28,3,0,0,8,14,1,1,1
224,SONOMA,2019,15,64,0,8,0,1,71,123,20,0,3,2,0,0,0,17,2,0,3,3,0,0,0,2,29,6,0,0,10,9,4,1,1
225,SONOMA,2020,27,56,1,15,0,2,33,97,9,0,2,2,0,0,0,6,3,0,4,0,0,0,0,5,21,1,0,0,3,9,3,1,1
226,SONOMA,2021,6,58,0,0,0,6,26,19,0,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,11,4,0,0,1,5,0,1,1
227,SONOMA,2022,10,200,2,2,0,39,90,45,0,1,2,7,0,0,0,26,0,0,1,0,0,0,0,0,50,4,0,0,10,12,0,1,1
228,SUTTER,2017,271,883,6,123,11,6,190,559,260,4,12,16,1,0,0,286,6,0,47,3,2,0,8,30,240,37,0,16,68,94,20,1,1
229,SUTTER,2018,245,959,3,81,4,8,257,540,366,3,12,14,0,0,0,310,4,0,38,3,1,0,10,28,209,43,0,20,32,73,16,1,1
230,SUTTER,2019,250,943,6,102,0,8,241,635,369,4,14,15,0,0,0,353,2,0,30,2,0,0,6,25,232,54,0,12,31,69,16,1,1
231,SUTTER,2020,228,623,4,83,6,7,174,365,158,2,7,6,0,0,0,272,10,1,32,4,1,0,8,37,162,35,0,6,43,43,18,1,1
232,SUTTER,2021,7,87,0,6,0,15,17,27,0,0,1,7,0,0,0,14,0,0,3,0,0,0,1,2,12,9,0,0,10,1,0,1,1
233,SUTTER,2022,125,860,2,34,0,279,193,331,0,0,13,38,0,0,0,200,0,0,19,2,0,0,4,29,225,39,0,10,34,28,4,1,1
234,TEHAMA,2017,150,300,1,96,2,6,134,559,205,2,4,10,1,0,0,132,3,0,11,2,1,0,9,14,195,83,0,8,26,93,28,3,3
235,TEHAMA,2018,177,387,3,95,1,6,139,570,224,2,5,9,0,0,0,104,1,0,7,3,0,0,8,14,262,75,0,20,17,85,33,3,3
236,TEHAMA,2019,162,365,4,85,0,6,178,612,174,0,4,11,0,0,0,99,2,0,20,2,0,0,0,14,259,71,0,13,40,80,28,3,3
237,TEHAMA,2020,149,259,11,78,1,15,85,435,129,1,2,7,0,0,0,77,3,0,2,2,2,0,5,10,182,41,0,9,42,44,16,3,3
238,TEHAMA,2021,61,284,8,15,0,185,75,151,0,0,3,20,0,0,0,33,0,0,5,1,0,0,7,7,121,35,0,4,26,49,0,3,3
239,TEHAMA,2022,54,365,13,22,0,243,113,244,0,0,13,38,0,0,0,57,0,0,14,2,0,0,5,16,187,51,0,8,40,78,5,3,3
240,TULARE,2017,696,1862,14,392,4,21,506,1735,410,6,34,45,0,0,0,250,19,1,58,9,3,11,22,71,762,173,0,12,113,193,92,3,3
241,TULARE,2018,680,1880,6,405,4,17,429,1745,351,6,51,56,0,0,0,171,15,2,71,8,5,3,21,84,677,179,0,8,107,206,72,3,3
242,TULARE,2019,695,2229,9,342,5,21,531,1711,430,5,51,78,5,0,0,167,11,0,72,18,3,4,19,83,706,175,0,3,110,204,64,3,3
243,TULARE,2020,662,1715,12,202,0,8,522,1562,438,5,41,51,0,0,0,132,4,1,74,8,7,7,22,62,591,114,0,3,65,200,63,3,3
244,TULARE,2021,276,779,7,62,0,124,409,1247,0,1,51,78,1,0,0,117,2,0,44,6,1,0,11,26,638,74,0,3,83,134,21,3,3
245,TULARE,2022,261,732,10,47,0,296,546,833,0,3,53,77,1,0,0,146,3,0,36,8,5,0,11,56,756,117,0,2,109,143,13,3,3
246,VENTURA,2017,63,150,0,14,4,10,43,243,17,0,1,0,0,0,0,30,8,0,10,0,3,1,2,8,116,5,0,2,21,18,6,1,1
247,VENTURA,2018,60,177,0,21,0,2,18,267,21,0,5,6,0,0,0,38,9,0,11,0,0,0,1,9,121,7,0,3,28,28,15,1,1
248,VENTURA,2019,80,206,2,9,0,5,38,392,22,1,1,1,0,0,0,24,24,1,14,3,1,1,0,10,141,6,0,8,22,36,4,1,1
249,VENTURA,2020,69,224,2,21,0,1,41,371,14,0,1,1,0,0,0,19,17,0,10,0,1,0,0,6,161,5,0,2,31,45,4,1,1
250,VENTURA,2021,44,117,1,8,0,13,51,173,0,0,1,3,0,0,0,18,8,0,7,0,0,0,0,3,81,8,0,1,18,40,0,1,1
251,VENTURA,2022,57,96,3,8,0,6,35,97,0,2,4,10,0,0,0,27,4,0,2,0,0,0,0,7,110,3,0,4,22,37,0,1,1
252,YOLO,2017,180,810,4,105,8,14,188,610,251,3,6,8,0,0,0,100,30,1,45,4,1,5,11,19,240,30,0,39,38,56,29,3,3
253,YOLO,2018,181,848,13,105,1,11,182,542,269,4,7,12,0,0,0,125,9,0,35,4,1,0,8,50,255,22,0,18,35,42,24,3,3
254,YOLO,2019,195,792,14,113,1,13,169,571,280,3,3,10,0,0,0,117,4,1,28,1,0,0,4,28,200,23,0,21,53,25,21,3,3
255,YOLO,2020,173,534,13,89,0,7,122,372,113,3,5,6,0,0,0,80,1,0,41,2,0,0,4,32,220,25,0,29,54,31,20,3,3
256,YOLO,2021,40,233,2,7,0,44,61,38,0,3,0,2,0,0,0,30,0,0,2,0,0,0,1,10,44,8,0,0,14,11,1,3,3
257,YOLO,2022,110,1044,13,32,0,170,274,210,0,0,6,20,0,0,0,86,0,0,15,0,2,1,2,24,216,38,0,10,76,60,3,3,3
